H	B
400000.000000	1.641026
379906.000000	1.605770
358555.600000	1.576924
334066.000000	1.544872
316483.600000	1.506410
299529.200000	1.483974
279434.800000	1.458334
259340.800000	1.423076
239246.400000	1.403846
219780.400000	1.368590
203453.600000	1.336538
178336.000000	1.307692
149450.400000	1.253206
128728.400000	1.227564
111146.000000	1.185898
96075.200000	1.153846
81004.800000	1.131410
62166.400000	1.102564
47095.600000	1.060898
34536.800000	1.044872
25745.600000	1.016026
13186.800000	1.000000
6279.600000	0.974358
-3767.600000	0.948718
-10047.200000	0.926282
-20722.000000	0.903846
-30141.200000	0.868590
-37048.800000	0.849358
-47723.600000	0.820512
-58398.800000	0.778846
-67818.000000	0.743590
-74097.200000	0.708334
-81632.800000	0.685898
-87912.000000	0.650642
-94191.600000	0.615384
-100470.800000	0.576924
-106122.400000	0.538462
-111774.000000	0.490384
-114285.600000	0.432692
-120565.200000	0.403846
-120965.200000	0.355770
-124332.800000	0.304488
-126216.800000	0.269230
-127472.400000	0.214744
-129984.400000	0.157052
-130612.400000	0.121794
-131240.000000	0.086538
-132496.000000	0.048076
-132500.000000	0.012820
-133752.000000	-0.019230
-133756.000000	-0.067308
-133760.000000	-0.269230
-133760.400000	-0.429488
-134380.000000	-0.586538
-137519.600000	-0.743590
-142543.200000	-0.887820
-150706.400000	-1.012820
-167032.800000	-1.125000
-195918.400000	-1.256410
-243642.000000	-1.368590
-311460.000000	-1.493590
-367346.800000	-1.580128
-400628.000000	-1.625000
-391208.800000	-1.612180
-381161.600000	-1.599358
-370486.800000	-1.586538
-359811.600000	-1.570512
-352276.400000	-1.557692
-344113.200000	-1.551282
-335322.000000	-1.535256
-327158.400000	-1.516026
-317111.600000	-1.500000
-306436.400000	-1.483974
-292621.600000	-1.480770
-286970.000000	-1.461538
-275667.200000	-1.461538
-267504.000000	-1.435898
-256828.800000	-1.423076
-248665.600000	-1.403846
-237362.800000	-1.391026
-225431.600000	-1.375000
-214128.800000	-1.349358
-203453.600000	-1.333334
-194034.400000	-1.326924
-174568.400000	-1.278846
-162637.200000	-1.278846
-149450.400000	-1.259616
-138147.600000	-1.233974
-128100.400000	-1.211538
-116797.600000	-1.192308
-104866.400000	-1.166666
-95447.600000	-1.157052
-86656.400000	-1.137820
-77237.200000	-1.115384
-66562.000000	-1.086538
-55259.200000	-1.064102
-45212.000000	-1.048076
-36420.800000	-1.028846
-24489.600000	-1.006410
-12558.800000	-0.983974
-3767.600000	-0.958334
5023.600000	-0.935898
15070.800000	-0.907052
28885.600000	-0.871794
38932.400000	-0.833334
48351.600000	-0.801282
58398.800000	-0.766026
67818.000000	-0.733974
76609.200000	-0.701924
83516.400000	-0.663462
89168.000000	-0.618590
96703.200000	-0.583334
104238.800000	-0.541666
109262.000000	-0.490384
114913.600000	-0.435898
119309.200000	-0.384616
124332.800000	-0.330128
125588.800000	-0.288462
129356.400000	-0.221154
129984.400000	-0.169872
131868.000000	-0.131410
133752.000000	-0.067308
134380.000000	-0.003206
135008.000000	0.054488
135635.600000	0.102564
136263.600000	0.358974
136891.600000	0.586538
139403.600000	0.750000
146310.800000	0.916666
157614.000000	1.038462
173312.400000	1.157052
201570.000000	1.272436
235478.800000	1.352564
288226.000000	1.461538
400000.000000	1.644230
