H	B
0	1.3281
-1888.399972	1.324105
-3706.850408	1.321110
-5665.199917	1.318114
-7553.599889	1.314120
-9442.059241	1.312123
-11610.197980	1.308128
-13638.497026	1.302137
-15876.585302	1.300140
-18184.682495	1.295147
-20492.720307	1.292151
-22590.968890	1.290155
-24899.006702	1.283164
-27276.994052	1.276174
-29654.981401	1.272180
-31123.743533	1.265191
-33221.992115	1.259198
-35250.291161	1.251210
-37068.741597	1.246217
-38537.503728	1.237230
-40425.903701	1.233235
-42244.354136	1.222252
-44412.552255	1.206275
-46370.901764	1.191295
-47979.503589	1.173322
-49238.476491	1.153350
-50217.651245	1.135375
-50986.977390	1.109412
-51546.514303	1.088443
-51966.152144	1.061481
-52595.638595	1.037516
-52945.326898	1.010554
-53364.964739	0.977601
-53784.602579	0.946646
-54134.350263	0.920683
-54414.089030	0.889727
-54693.887177	0.858772
-54973.625944	0.820826
-55253.364711	0.792865
-55323.314248	0.765905
-55533.162858	0.740940
-55812.901625	0.710982
-55952.800699	0.684022
-56232.539466	0.652067
-56302.489002	0.614121
-56582.287149	0.583166
-56582.287149	0.555206
-56792.076380	0.531240
-57001.924990	0.487302
-57141.824063	0.454350
-57281.663757	0.413408
-57631.411441	0.380455
-57701.301597	0.351498
-57911.150208	0.317546
-58051.049281	0.290584
-58051.049281	0.257631
-58190.888975	0.228672
-58400.737585	0.204707
-58610.586195	0.171754
-58750.425889	0.138801
-58820.375425	0.110842
-59030.224036	0.074893
-59170.063729	0.039943
-59379.912339	0
